date,pm25,pm10,o3,no2,so2,co
2022/11/21, 117, 82, 30, 18, 27, 
2022/11/22, 159, 68, 29, 17, 32, 
2022/11/23, 152, 65, 26, 18, 34, 
2022/11/24, 149, 70, 23, 23, 31, 
2022/11/25, 155, 83, 17, 19, 28, 
2022/11/26, 163, 53, 22, 12, 32, 
2022/11/27, 122, 13, 21, 16, 32, 
2022/11/28, 26, 34, 21, 19, 34, 
2022/11/29, 75, 32, 27, 13, 37, 
2022/11/30, 74, 13, 24, 14, 38, 
2022/12/1, 39, 15, 27, 16, 35, 
2022/12/2, 47, 25, 27, 16, , 
2022/12/3, 62, 12, 32, 16, , 
2022/12/4, 43, 14, 33, 17, , 
2022/12/5, 50, 17, 29, 18, , 
2022/12/6, 59, 26, 35, 16, , 
2022/12/7, 74, 33, 27, 18, , 
2022/12/8, 78, 47, 20, 18, , 
2022/12/9, 98, 40, 20, 18, , 
2022/12/10, 97, 49, 23, 16, , 
2022/12/11, 122, 47, 34, 18, , 
2022/12/12, 119, 46, 32, 16, , 
2022/12/13, 119, 56, 28, 15, 7, 
2022/12/14, 145, 55, 16, 14, 8, 
2022/12/15, 123, 52, 7, 18, 10, 
2022/12/16, 128, 39, 7, 17, 14, 
2022/12/17, 93, 44, 7, 17, 17, 
2022/12/18, 103, 51, 8, 20, 20, 
2022/12/19, 109, 18, 10, 18, , 
2022/12/20, 38, 14, 8, 14, 20, 
2022/12/21, 37, 39, 8, 16, , 
2022/12/22, 77, 61, 10, 19, , 
2022/12/23, 130, 59, 9, 21, , 
2022/12/24, 131, 64, 12, 22, , 
2022/12/25, 149, 55, 10, 23, , 
2022/12/26, 127, 71, 7, 17, , 
2022/12/27, 158, 80, 14, 14, , 
2022/12/28, 160, 22, 18, 13, , 
2022/12/29, 48, 31, 14, 15, , 
2022/12/30, 68, 56, 11, 15, , 
2022/12/31, 127, 55, 17, 19, , 
2023/1/1, 129, 27, 18, 17, , 
2022/7/1, 54, 24, 48, 5, 57, 1
2022/7/2, 36, 26, 60, 3, 56, 5
2022/7/3, 47, 23, 52, 6, 32, 2
2022/7/4, 42, 25, 59, 13, 7, 7
2022/7/5, 43, 32, 55, 11, 5, 12
2022/7/6, 54, 37, 51, 7, 5, 4
2022/7/7, 54, 36, 55, 11, 6, 7
2022/7/8, 57, 47, 55, 13, 7, 8
2022/7/9, 65, 57, 48, 13, 7, 4
2022/7/10, 67, 57, 52, 13, 7, 8
2022/7/11, 65, 36, 48, 7, 5, 15
2022/7/12, 42, 47, 48, 9, 5, 31
2022/7/13, 52, 40, 46, 5, 6, 11
2022/7/14, 45, 29, 51, 9, 6, 15
2022/7/15, 30, 57, 61, 15, 6, 19
2022/7/16, 63, 41, 61, 5, 6, 14
2022/7/17, 45, 34, 55, 7, 6, 14
2022/7/18, 45, 38, 46, 6, 5, 8
2022/7/19, 52, 30, 47, 5, 5, 7
2022/7/20, 35, 27, 46, 6, 6, 2
2022/7/21, 31, 19, 47, 4, 5, 3
2022/7/22, 23, 29, 48, 3, 5, 
2022/7/23, 37, 31, 51, 3, 6, 225
2022/7/24, 36, 23, 48, 4, 6, 227
2022/7/25, 28, 27, 55, 10, 6, 
2022/7/26, 38, 26, 47, 7, 6, 
2022/7/27, 53, 23, 63, 6, 7, 
2022/7/28, 44, 29, 50, 9, 6, 
2022/7/29, 54, 37, 64, 12, 7, 
2022/7/30, 60, 35, 62, 11, 7, 
2022/7/31, 57, 33, 56, 11, 8, 
2022/8/1, 59, 35, 62, 9, 7, 
2022/8/2, 61, 30, 56, 5, 8, 
2022/8/3, 58, 32, 56, 7, 7, 
2022/8/4, 57, 36, 55, 11, 8, 
2022/8/5, 62, 29, 62, 6, 8, 
2022/8/6, 57, 30, 44, 8, 9, 
2022/8/7, 56, 36, 46, 9, 8, 
2022/8/8, 58, 36, 47, 11, 9, 
2022/8/9, 59, 37, 44, 12, 9, 
2022/8/10, 57, 40, 44, 10, 10, 
2022/8/11, 55, 53, 44, 16, 10, 
2022/8/12, 67, 54, 50, 13, 11, 
2022/8/13, 70, 55, 56, 16, 13, 
2022/8/14, 66, 45, 56, 17, 13, 
2022/8/15, 61, 47, 57, 19, 14, 
2022/8/16, 62, 48, 49, 15, 14, 
2022/8/17, 63, 60, 47, 15, 17, 
2022/8/18, 66, 75, 51, 15, 18, 
2022/8/19, 76, 70, 52, 17, 19, 
2022/8/20, 75, 67, 62, 14, 20, 
2022/8/21, 71, 96, 109, 10, 23, 
2022/8/22, 96, 74, 151, 11, 22, 
2022/8/23, 74, 56, 26, 11, 24, 
2022/8/24, 60, 44, 26, 11, 17, 
2022/8/25, 51, 47, 29, 15, 3, 
2022/8/26, 53, 49, 30, 15, 2, 
2022/8/27, 56, 54, 31, 15, 2, 
2022/8/28, 63, 53, 31, 18, 3, 
2022/8/29, 67, 54, 31, 14, 3, 
2022/8/30, 61, 53, 32, 17, 4, 
2022/8/31, 59, 54, 33, 17, 4, 
2022/9/1, 64, 61, 34, 17, 4, 
2022/9/2, 73, 59, 34, 19, 4, 
2022/9/3, 73, 64, 35, 13, 5, 
2022/9/4, 78, 53, 31, 4, 4, 
2022/9/5, 56, 20, 29, 7, 4, 
2022/9/6, 32, 18, 29, 8, 3, 
2022/9/7, 42, 18, 27, 11, 3, 
2022/9/8, 35, 23, 31, 10, 4, 
2022/9/9, 41, 20, 33, 13, 4, 
2022/9/10, 32, 30, 34, 14, 4, 
2022/9/11, 53, 34, 36, 13, 5, 
2022/9/12, 56, 40, 46, 15, 6, 
2022/9/13, 64, 29, 63, 6, 6, 
2022/9/14, 42, 18, 63, 9, 5, 
2022/9/15, 29, 28, 13, 18, 5, 
